"Method" "power" "error" "m"
"ar" 0.997 0.044 -1
"ar" 0.994 0.048 -0.948717948717949
"ar" 0.989 0.064 -0.897435897435897
"ar" 0.976 0.035 -0.846153846153846
"ar" 0.97 0.063 -0.794871794871795
"ar" 0.946 0.054 -0.743589743589744
"ar" 0.912 0.057 -0.692307692307692
"ar" 0.876 0.052 -0.641025641025641
"ar" 0.792 0.047 -0.58974358974359
"ar" 0.733 0.057 -0.538461538461539
"ar" 0.647 0.052 -0.487179487179487
"ar" 0.565 0.059 -0.435897435897436
"ar" 0.498 0.05 -0.384615384615385
"ar" 0.396 0.062 -0.333333333333333
"ar" 0.378 0.044 -0.282051282051282
"ar" 0.275 0.049 -0.230769230769231
"ar" 0.262 0.047 -0.17948717948718
"ar" 0.196 0.041 -0.128205128205128
"ar" 0.202 0.048 -0.076923076923077
"ar" 0.208 0.047 -0.0256410256410257
"ar" 0.186 0.059 0.0256410256410255
"ar" 0.228 0.067 0.0769230769230769
"ar" 0.21 0.051 0.128205128205128
"ar" 0.247 0.056 0.17948717948718
"ar" 0.309 0.057 0.230769230769231
"ar" 0.396 0.063 0.282051282051282
"ar" 0.43 0.041 0.333333333333333
"ar" 0.48 0.056 0.384615384615385
"ar" 0.589 0.054 0.435897435897436
"ar" 0.656 0.048 0.487179487179487
"ar" 0.735 0.053 0.538461538461538
"ar" 0.83 0.054 0.58974358974359
"ar" 0.871 0.064 0.641025641025641
"ar" 0.912 0.054 0.692307692307692
"ar" 0.93 0.043 0.743589743589744
"ar" 0.976 0.055 0.794871794871795
"ar" 0.985 0.036 0.846153846153846
"ar" 0.991 0.05 0.897435897435897
"ar" 0.994 0.051 0.948717948717949
"ar" 0.999 0.049 1
"ff" 1 0.048 -1
"ff" 1 0.049 -0.948717948717949
"ff" 0.998 0.058 -0.897435897435897
"ff" 0.995 0.044 -0.846153846153846
"ff" 0.987 0.049 -0.794871794871795
"ff" 0.978 0.056 -0.743589743589744
"ff" 0.948 0.058 -0.692307692307692
"ff" 0.918 0.049 -0.641025641025641
"ff" 0.87 0.064 -0.58974358974359
"ff" 0.825 0.046 -0.538461538461539
"ff" 0.696 0.048 -0.487179487179487
"ff" 0.615 0.065 -0.435897435897436
"ff" 0.525 0.05 -0.384615384615385
"ff" 0.393 0.051 -0.333333333333333
"ff" 0.305 0.05 -0.282051282051282
"ff" 0.226 0.044 -0.230769230769231
"ff" 0.157 0.039 -0.17948717948718
"ff" 0.08 0.054 -0.128205128205128
"ff" 0.084 0.055 -0.076923076923077
"ff" 0.067 0.046 -0.0256410256410257
"ff" 0.076 0.049 0.0256410256410255
"ff" 0.084 0.054 0.0769230769230769
"ff" 0.107 0.03 0.128205128205128
"ff" 0.152 0.061 0.17948717948718
"ff" 0.211 0.038 0.230769230769231
"ff" 0.325 0.053 0.282051282051282
"ff" 0.4 0.052 0.333333333333333
"ff" 0.501 0.054 0.384615384615385
"ff" 0.61 0.05 0.435897435897436
"ff" 0.695 0.054 0.487179487179487
"ff" 0.803 0.051 0.538461538461538
"ff" 0.897 0.051 0.58974358974359
"ff" 0.92 0.055 0.641025641025641
"ff" 0.952 0.05 0.692307692307692
"ff" 0.973 0.05 0.743589743589744
"ff" 0.991 0.052 0.794871794871795
"ff" 0.998 0.041 0.846153846153846
"ff" 0.993 0.057 0.897435897435897
"ff" 1 0.035 0.948717948717949
"ff" 1 0.066 1
