"Method" "power" "error" "m"
"ar" 0.7383 0.0478 -1
"ar" 0.7066 0.0508 -0.948717948717949
"ar" 0.6638 0.0462 -0.897435897435897
"ar" 0.6203 0.0456 -0.846153846153846
"ar" 0.5956 0.0479 -0.794871794871795
"ar" 0.5629 0.0446 -0.743589743589744
"ar" 0.5262 0.0459 -0.692307692307692
"ar" 0.4934 0.0483 -0.641025641025641
"ar" 0.4593 0.0457 -0.58974358974359
"ar" 0.4366 0.0482 -0.538461538461539
"ar" 0.3968 0.047 -0.487179487179487
"ar" 0.3694 0.0472 -0.435897435897436
"ar" 0.3558 0.0473 -0.384615384615385
"ar" 0.3389 0.0525 -0.333333333333333
"ar" 0.3134 0.0454 -0.282051282051282
"ar" 0.2908 0.0427 -0.230769230769231
"ar" 0.3014 0.0474 -0.17948717948718
"ar" 0.2783 0.0509 -0.128205128205128
"ar" 0.2753 0.0497 -0.076923076923077
"ar" 0.2714 0.0492 -0.0256410256410257
"ar" 0.2773 0.0475 0.0256410256410255
"ar" 0.2763 0.0434 0.0769230769230769
"ar" 0.2958 0.0478 0.128205128205128
"ar" 0.2866 0.0479 0.17948717948718
"ar" 0.2981 0.0502 0.230769230769231
"ar" 0.3194 0.0472 0.282051282051282
"ar" 0.3429 0.0463 0.333333333333333
"ar" 0.3592 0.0476 0.384615384615385
"ar" 0.3731 0.0435 0.435897435897436
"ar" 0.4002 0.0486 0.487179487179487
"ar" 0.4218 0.0484 0.538461538461538
"ar" 0.4612 0.0467 0.58974358974359
"ar" 0.4987 0.0499 0.641025641025641
"ar" 0.5319 0.048 0.692307692307692
"ar" 0.5572 0.0485 0.743589743589744
"ar" 0.5984 0.0496 0.794871794871795
"ar" 0.6347 0.0462 0.846153846153846
"ar" 0.6657 0.0499 0.897435897435897
"ar" 0.7052 0.0451 0.948717948717949
"ar" 0.7391 0.0509 1
"ks" 0.7318 0.036 -1
"ks" 0.6907 0.0361 -0.948717948717949
"ks" 0.64 0.032 -0.897435897435897
"ks" 0.5868 0.034 -0.846153846153846
"ks" 0.5493 0.0337 -0.794871794871795
"ks" 0.4968 0.0337 -0.743589743589744
"ks" 0.4439 0.037 -0.692307692307692
"ks" 0.4022 0.0382 -0.641025641025641
"ks" 0.3527 0.0359 -0.58974358974359
"ks" 0.3103 0.0335 -0.538461538461539
"ks" 0.2656 0.0369 -0.487179487179487
"ks" 0.232 0.0312 -0.435897435897436
"ks" 0.2025 0.0363 -0.384615384615385
"ks" 0.184 0.0355 -0.333333333333333
"ks" 0.1569 0.0357 -0.282051282051282
"ks" 0.1282 0.0309 -0.230769230769231
"ks" 0.1284 0.0389 -0.17948717948718
"ks" 0.1089 0.0368 -0.128205128205128
"ks" 0.1086 0.0369 -0.076923076923077
"ks" 0.1052 0.0382 -0.0256410256410257
"ks" 0.1023 0.0368 0.0256410256410255
"ks" 0.1114 0.0329 0.0769230769230769
"ks" 0.1158 0.0357 0.128205128205128
"ks" 0.1229 0.034 0.17948717948718
"ks" 0.1402 0.0344 0.230769230769231
"ks" 0.1529 0.0349 0.282051282051282
"ks" 0.1838 0.033 0.333333333333333
"ks" 0.2034 0.0356 0.384615384615385
"ks" 0.2248 0.0335 0.435897435897436
"ks" 0.2677 0.0324 0.487179487179487
"ks" 0.2952 0.0323 0.538461538461538
"ks" 0.3592 0.0331 0.58974358974359
"ks" 0.4065 0.0378 0.641025641025641
"ks" 0.453 0.0349 0.692307692307692
"ks" 0.4928 0.0371 0.743589743589744
"ks" 0.5479 0.0363 0.794871794871795
"ks" 0.5997 0.0379 0.846153846153846
"ks" 0.6417 0.0355 0.897435897435897
"ks" 0.6896 0.036 0.948717948717949
"ks" 0.7366 0.039 1
