"Method" "power" "error" "m"
"ar" 0.7484 0.0505 -1
"ar" 0.6797 0.0506 -0.948717948717949
"ar" 0.6114 0.0502 -0.897435897435897
"ar" 0.548 0.0498 -0.846153846153846
"ar" 0.4769 0.05 -0.794871794871795
"ar" 0.4105 0.0514 -0.743589743589744
"ar" 0.3483 0.0446 -0.692307692307692
"ar" 0.2912 0.0512 -0.641025641025641
"ar" 0.2372 0.0499 -0.58974358974359
"ar" 0.1927 0.0489 -0.538461538461539
"ar" 0.1605 0.0525 -0.487179487179487
"ar" 0.1195 0.048 -0.435897435897436
"ar" 0.0948 0.0494 -0.384615384615385
"ar" 0.082 0.0515 -0.333333333333333
"ar" 0.0634 0.0535 -0.282051282051282
"ar" 0.0558 0.0512 -0.230769230769231
"ar" 0.0451 0.0481 -0.17948717948718
"ar" 0.0381 0.0538 -0.128205128205128
"ar" 0.0369 0.0488 -0.076923076923077
"ar" 0.0316 0.0516 -0.0256410256410257
"ar" 0.0334 0.0537 0.0256410256410255
"ar" 0.0347 0.0519 0.0769230769230769
"ar" 0.0403 0.0442 0.128205128205128
"ar" 0.0444 0.0535 0.17948717948718
"ar" 0.0471 0.0504 0.230769230769231
"ar" 0.0624 0.0483 0.282051282051282
"ar" 0.0809 0.0485 0.333333333333333
"ar" 0.0953 0.0512 0.384615384615385
"ar" 0.1227 0.0495 0.435897435897436
"ar" 0.157 0.0499 0.487179487179487
"ar" 0.1893 0.0485 0.538461538461538
"ar" 0.2263 0.0514 0.58974358974359
"ar" 0.2936 0.0491 0.641025641025641
"ar" 0.3511 0.0583 0.692307692307692
"ar" 0.417 0.0465 0.743589743589744
"ar" 0.478 0.0527 0.794871794871795
"ar" 0.5464 0.0524 0.846153846153846
"ar" 0.6197 0.0484 0.897435897435897
"ar" 0.6852 0.0501 0.948717948717949
"ar" 0.7473 0.0479 1
"ks" 0.8749 0.037 -1
"ks" 0.8277 0.0349 -0.948717948717949
"ks" 0.7645 0.0371 -0.897435897435897
"ks" 0.7096 0.0366 -0.846153846153846
"ks" 0.6318 0.0371 -0.794871794871795
"ks" 0.5686 0.0357 -0.743589743589744
"ks" 0.4841 0.0336 -0.692307692307692
"ks" 0.4076 0.0357 -0.641025641025641
"ks" 0.3372 0.0347 -0.58974358974359
"ks" 0.2609 0.0362 -0.538461538461539
"ks" 0.2175 0.0344 -0.487179487179487
"ks" 0.158 0.033 -0.435897435897436
"ks" 0.1178 0.0361 -0.384615384615385
"ks" 0.0822 0.0344 -0.333333333333333
"ks" 0.0573 0.0346 -0.282051282051282
"ks" 0.0376 0.0326 -0.230769230769231
"ks" 0.0249 0.0318 -0.17948717948718
"ks" 0.016 0.0361 -0.128205128205128
"ks" 0.0108 0.0341 -0.076923076923077
"ks" 0.0094 0.0365 -0.0256410256410257
"ks" 0.0104 0.0373 0.0256410256410255
"ks" 0.0122 0.0373 0.0769230769230769
"ks" 0.0173 0.0325 0.128205128205128
"ks" 0.0243 0.0374 0.17948717948718
"ks" 0.037 0.0375 0.230769230769231
"ks" 0.0569 0.0367 0.282051282051282
"ks" 0.0851 0.0364 0.333333333333333
"ks" 0.1158 0.036 0.384615384615385
"ks" 0.16 0.0346 0.435897435897436
"ks" 0.2085 0.0353 0.487179487179487
"ks" 0.2645 0.0342 0.538461538461538
"ks" 0.3321 0.0375 0.58974358974359
"ks" 0.4179 0.0348 0.641025641025641
"ks" 0.4871 0.0414 0.692307692307692
"ks" 0.5683 0.0363 0.743589743589744
"ks" 0.6309 0.036 0.794871794871795
"ks" 0.6999 0.0382 0.846153846153846
"ks" 0.7761 0.0358 0.897435897435897
"ks" 0.8284 0.0355 0.948717948717949
"ks" 0.8714 0.0345 1
