"Method" "power" "error" "m"
"ar" 0.76 0.0415 -1
"ar" 0.7126 0.0496 -0.948717948717949
"ar" 0.6615 0.0481 -0.897435897435897
"ar" 0.6143 0.0486 -0.846153846153846
"ar" 0.5592 0.0542 -0.794871794871795
"ar" 0.5021 0.0479 -0.743589743589744
"ar" 0.4594 0.0474 -0.692307692307692
"ar" 0.3957 0.0495 -0.641025641025641
"ar" 0.3566 0.0481 -0.58974358974359
"ar" 0.3145 0.0485 -0.538461538461539
"ar" 0.2713 0.0483 -0.487179487179487
"ar" 0.2373 0.0484 -0.435897435897436
"ar" 0.2081 0.0485 -0.384615384615385
"ar" 0.1798 0.0486 -0.333333333333333
"ar" 0.1648 0.0474 -0.282051282051282
"ar" 0.1501 0.0492 -0.230769230769231
"ar" 0.1296 0.0432 -0.17948717948718
"ar" 0.1204 0.0486 -0.128205128205128
"ar" 0.1137 0.0475 -0.076923076923077
"ar" 0.1083 0.0471 -0.0256410256410257
"ar" 0.1086 0.0505 0.0256410256410255
"ar" 0.1172 0.0456 0.0769230769230769
"ar" 0.1146 0.0472 0.128205128205128
"ar" 0.1312 0.0497 0.17948717948718
"ar" 0.1446 0.0509 0.230769230769231
"ar" 0.1639 0.0494 0.282051282051282
"ar" 0.1853 0.0462 0.333333333333333
"ar" 0.2073 0.0511 0.384615384615385
"ar" 0.2313 0.0469 0.435897435897436
"ar" 0.2739 0.0496 0.487179487179487
"ar" 0.3114 0.0511 0.538461538461538
"ar" 0.3562 0.0494 0.58974358974359
"ar" 0.3962 0.043 0.641025641025641
"ar" 0.4495 0.0517 0.692307692307692
"ar" 0.5067 0.0486 0.743589743589744
"ar" 0.5594 0.0469 0.794871794871795
"ar" 0.612 0.0466 0.846153846153846
"ar" 0.6564 0.0492 0.897435897435897
"ar" 0.713 0.047 0.948717948717949
"ar" 0.7646 0.0474 1
"ks" 0.8329 0.032 -1
"ks" 0.7902 0.0344 -0.948717948717949
"ks" 0.7325 0.0361 -0.897435897435897
"ks" 0.677 0.0346 -0.846153846153846
"ks" 0.6085 0.0358 -0.794871794871795
"ks" 0.5382 0.0344 -0.743589743589744
"ks" 0.484 0.0368 -0.692307692307692
"ks" 0.4045 0.0358 -0.641025641025641
"ks" 0.3424 0.0348 -0.58974358974359
"ks" 0.2806 0.0374 -0.538461538461539
"ks" 0.2272 0.037 -0.487179487179487
"ks" 0.1726 0.0349 -0.435897435897436
"ks" 0.1345 0.0371 -0.384615384615385
"ks" 0.0994 0.0366 -0.333333333333333
"ks" 0.0803 0.0371 -0.282051282051282
"ks" 0.0547 0.0357 -0.230769230769231
"ks" 0.0392 0.0336 -0.17948717948718
"ks" 0.0257 0.0357 -0.128205128205128
"ks" 0.0191 0.0347 -0.076923076923077
"ks" 0.0191 0.0362 -0.0256410256410257
"ks" 0.0176 0.0344 0.0256410256410255
"ks" 0.0182 0.033 0.0769230769230769
"ks" 0.0257 0.0361 0.128205128205128
"ks" 0.0395 0.0344 0.17948717948718
"ks" 0.0553 0.0346 0.230769230769231
"ks" 0.078 0.0326 0.282051282051282
"ks" 0.1044 0.0318 0.333333333333333
"ks" 0.1304 0.0361 0.384615384615385
"ks" 0.1718 0.0341 0.435897435897436
"ks" 0.226 0.0365 0.487179487179487
"ks" 0.2793 0.0373 0.538461538461538
"ks" 0.333 0.0373 0.58974358974359
"ks" 0.3954 0.0325 0.641025641025641
"ks" 0.4663 0.0374 0.692307692307692
"ks" 0.5519 0.0375 0.743589743589744
"ks" 0.6087 0.0367 0.794871794871795
"ks" 0.6791 0.0364 0.846153846153846
"ks" 0.7277 0.036 0.897435897435897
"ks" 0.7821 0.0346 0.948717948717949
"ks" 0.8372 0.0353 1
