"Method" "power" "eta"
"ar_stat" 0.9998 -1
"ar_stat" 0.9996 -0.959183673469388
"ar_stat" 0.9988 -0.918367346938776
"ar_stat" 0.9978 -0.877551020408163
"ar_stat" 0.997 -0.836734693877551
"ar_stat" 0.9924 -0.795918367346939
"ar_stat" 0.988 -0.755102040816326
"ar_stat" 0.9795 -0.714285714285714
"ar_stat" 0.9642 -0.673469387755102
"ar_stat" 0.942 -0.63265306122449
"ar_stat" 0.9153 -0.591836734693878
"ar_stat" 0.8656 -0.551020408163265
"ar_stat" 0.8187 -0.510204081632653
"ar_stat" 0.7387 -0.469387755102041
"ar_stat" 0.6694 -0.428571428571429
"ar_stat" 0.5707 -0.387755102040816
"ar_stat" 0.4961 -0.346938775510204
"ar_stat" 0.3937 -0.306122448979592
"ar_stat" 0.3161 -0.26530612244898
"ar_stat" 0.2502 -0.224489795918367
"ar_stat" 0.1793 -0.183673469387755
"ar_stat" 0.1229 -0.142857142857143
"ar_stat" 0.0846 -0.102040816326531
"ar_stat" 0.0657 -0.0612244897959184
"ar_stat" 0.0538 -0.0204081632653061
"ar_stat" 0.0475 0
"ar_stat" 0.0505 0.0204081632653061
"ar_stat" 0.068 0.0612244897959182
"ar_stat" 0.0899 0.102040816326531
"ar_stat" 0.1297 0.142857142857143
"ar_stat" 0.1768 0.183673469387755
"ar_stat" 0.2418 0.224489795918367
"ar_stat" 0.3144 0.265306122448979
"ar_stat" 0.4011 0.306122448979592
"ar_stat" 0.488 0.346938775510204
"ar_stat" 0.5936 0.387755102040816
"ar_stat" 0.6633 0.428571428571428
"ar_stat" 0.7442 0.469387755102041
"ar_stat" 0.8127 0.510204081632653
"ar_stat" 0.8634 0.551020408163265
"ar_stat" 0.9136 0.591836734693877
"ar_stat" 0.9401 0.63265306122449
"ar_stat" 0.9609 0.673469387755102
"ar_stat" 0.9775 0.714285714285714
"ar_stat" 0.9876 0.755102040816326
"ar_stat" 0.994 0.795918367346939
"ar_stat" 0.9949 0.836734693877551
"ar_stat" 0.9987 0.877551020408163
"ar_stat" 0.9996 0.918367346938775
"ar_stat" 0.9996 0.959183673469388
"ar_stat" 1 1
"t_equalvar" 0.9998 -1
"t_equalvar" 0.9997 -0.959183673469388
"t_equalvar" 0.9989 -0.918367346938776
"t_equalvar" 0.9982 -0.877551020408163
"t_equalvar" 0.9976 -0.836734693877551
"t_equalvar" 0.9935 -0.795918367346939
"t_equalvar" 0.9882 -0.755102040816326
"t_equalvar" 0.9776 -0.714285714285714
"t_equalvar" 0.9646 -0.673469387755102
"t_equalvar" 0.942 -0.63265306122449
"t_equalvar" 0.9155 -0.591836734693878
"t_equalvar" 0.8656 -0.551020408163265
"t_equalvar" 0.8164 -0.510204081632653
"t_equalvar" 0.7399 -0.469387755102041
"t_equalvar" 0.6677 -0.428571428571429
"t_equalvar" 0.5703 -0.387755102040816
"t_equalvar" 0.493 -0.346938775510204
"t_equalvar" 0.3903 -0.306122448979592
"t_equalvar" 0.3114 -0.26530612244898
"t_equalvar" 0.2459 -0.224489795918367
"t_equalvar" 0.1756 -0.183673469387755
"t_equalvar" 0.1198 -0.142857142857143
"t_equalvar" 0.0812 -0.102040816326531
"t_equalvar" 0.0635 -0.0612244897959184
"t_equalvar" 0.0524 -0.0204081632653061
"t_equalvar" 0.0434 0
"t_equalvar" 0.0484 0.0204081632653061
"t_equalvar" 0.0641 0.0612244897959182
"t_equalvar" 0.0855 0.102040816326531
"t_equalvar" 0.1279 0.142857142857143
"t_equalvar" 0.1722 0.183673469387755
"t_equalvar" 0.2396 0.224489795918367
"t_equalvar" 0.3081 0.265306122448979
"t_equalvar" 0.3993 0.306122448979592
"t_equalvar" 0.4861 0.346938775510204
"t_equalvar" 0.588 0.387755102040816
"t_equalvar" 0.6583 0.428571428571428
"t_equalvar" 0.7421 0.469387755102041
"t_equalvar" 0.8122 0.510204081632653
"t_equalvar" 0.8631 0.551020408163265
"t_equalvar" 0.9127 0.591836734693877
"t_equalvar" 0.9407 0.63265306122449
"t_equalvar" 0.9628 0.673469387755102
"t_equalvar" 0.9789 0.714285714285714
"t_equalvar" 0.9879 0.755102040816326
"t_equalvar" 0.9948 0.795918367346939
"t_equalvar" 0.9949 0.836734693877551
"t_equalvar" 0.9987 0.877551020408163
"t_equalvar" 0.9996 0.918367346938775
"t_equalvar" 0.9996 0.959183673469388
"t_equalvar" 1 1
"LR" 0.999969896829354 -1
"LR" 0.999921934232857 -0.959183673469388
"LR" 0.999807542843562 -0.918367346938776
"LR" 0.999548822626368 -0.877551020408163
"LR" 0.998993923286882 -0.836734693877551
"LR" 0.997865309747615 -0.795918367346939
"LR" 0.99568848290023 -0.755102040816326
"LR" 0.9917069487683 -0.714285714285714
"LR" 0.984800969800789 -0.673469387755102
"LR" 0.973441747353649 -0.63265306122449
"LR" 0.955723499622389 -0.591836734693878
"LR" 0.929515010418372 -0.551020408163265
"LR" 0.892751881473943 -0.510204081632653
"LR" 0.843849231247257 -0.469387755102041
"LR" 0.782161055540492 -0.428571428571429
"LR" 0.708367032427363 -0.387755102040816
"LR" 0.624654539316745 -0.346938775510204
"LR" 0.534599242705224 -0.306122448979592
"LR" 0.442728297994894 -0.26530612244898
"LR" 0.353849729530843 -0.224489795918367
"LR" 0.272310641659045 -0.183673469387755
"LR" 0.201371728729241 -0.142857142857143
"LR" 0.142845166493661 -0.102040816326531
"LR" 0.0970551076238511 -0.0612244897959184
"LR" 0.0630817120646318 -0.0204081632653061
"LR" 0.0500000000000002 0
"LR" 0.0630817120646318 0.0204081632653061
"LR" 0.0970551076238508 0.0612244897959182
"LR" 0.142845166493661 0.102040816326531
"LR" 0.201371728729241 0.142857142857143
"LR" 0.272310641659044 0.183673469387755
"LR" 0.353849729530843 0.224489795918367
"LR" 0.442728297994893 0.265306122448979
"LR" 0.534599242705224 0.306122448979592
"LR" 0.624654539316745 0.346938775510204
"LR" 0.708367032427363 0.387755102040816
"LR" 0.782161055540492 0.428571428571428
"LR" 0.843849231247257 0.469387755102041
"LR" 0.892751881473943 0.510204081632653
"LR" 0.929515010418372 0.551020408163265
"LR" 0.955723499622389 0.591836734693877
"LR" 0.973441747353649 0.63265306122449
"LR" 0.984800969800789 0.673469387755102
"LR" 0.9917069487683 0.714285714285714
"LR" 0.99568848290023 0.755102040816326
"LR" 0.997865309747615 0.795918367346939
"LR" 0.998993923286882 0.836734693877551
"LR" 0.999548822626368 0.877551020408163
"LR" 0.999807542843562 0.918367346938775
"LR" 0.999921934232857 0.959183673469388
"LR" 0.999969896829354 1
