"Method" "power" "error" "r"
"t_paired" 0.4748 0.0478 -0.101020408163265
"t_paired" 0.4903 0.0509 -0.0606122448979592
"t_paired" 0.5117 0.0485 -0.0202040816326531
"t_paired" 0.5197 0.0486 0
"t_paired" 0.5227 0.0475 0.020204081632653
"t_paired" 0.5472 0.0529 0.0606122448979591
"t_paired" 0.5566 0.0515 0.101020408163265
"t_paired" 0.5874 0.0487 0.141428571428571
"t_paired" 0.6055 0.0528 0.181836734693878
"t_paired" 0.6256 0.048 0.222244897959184
"t_paired" 0.6462 0.0479 0.26265306122449
"t_paired" 0.6765 0.0489 0.303061224489796
"t_paired" 0.6922 0.0496 0.343469387755102
"t_paired" 0.7366 0.049 0.383877551020408
"t_paired" 0.7585 0.049 0.424285714285714
"t_paired" 0.7875 0.051 0.46469387755102
"t_paired" 0.8079 0.0502 0.505102040816326
"t_paired" 0.8451 0.0495 0.545510204081633
"t_paired" 0.8723 0.0492 0.585918367346939
"t_paired" 0.9064 0.0515 0.626326530612245
"t_paired" 0.9369 0.0488 0.666734693877551
"t_paired" 0.9614 0.0472 0.707142857142857
"t_paired" 0.9777 0.045 0.747551020408163
"t_paired" 0.9921 0.0516 0.787959183673469
"t_paired" 0.9975 0.0525 0.828367346938776
"t_paired" 0.9999 0.0533 0.868775510204082
"t_paired" 1 0.0482 0.909183673469388
"t_paired" 1 0.0516 0.949591836734694
"t_paired" 1 0.0507 0.99
"t_equalvar" 0.5116 0.1651 -0.99
"t_equalvar" 0.5125 0.1511 -0.949591836734694
"t_equalvar" 0.5127 0.1505 -0.909183673469388
"t_equalvar" 0.5115 0.149 -0.868775510204082
"t_equalvar" 0.5128 0.1463 -0.828367346938776
"t_equalvar" 0.5182 0.1394 -0.787959183673469
"t_equalvar" 0.5171 0.1353 -0.747551020408163
"t_equalvar" 0.5143 0.1256 -0.707142857142857
"t_equalvar" 0.5101 0.1271 -0.666734693877551
"t_equalvar" 0.5204 0.1172 -0.626326530612245
"t_equalvar" 0.5146 0.116 -0.585918367346939
"t_equalvar" 0.5116 0.1097 -0.545510204081633
"t_equalvar" 0.5142 0.1026 -0.505102040816326
"t_equalvar" 0.511 0.1006 -0.46469387755102
"t_equalvar" 0.5032 0.0969 -0.424285714285714
"t_equalvar" 0.504 0.0933 -0.383877551020408
"t_equalvar" 0.5141 0.0847 -0.343469387755102
"t_equalvar" 0.5024 0.0817 -0.303061224489796
"t_equalvar" 0.5197 0.0753 -0.26265306122449
"t_equalvar" 0.5172 0.0731 -0.222244897959184
"t_equalvar" 0.5153 0.073 -0.181836734693878
"t_equalvar" 0.5203 0.0598 -0.141428571428571
"t_equalvar" 0.5128 0.0578 -0.101020408163265
"t_equalvar" 0.5095 0.0533 -0.0606122448979592
"t_equalvar" 0.5159 0.0479 -0.0202040816326531
"t_equalvar" 0.5141 0.0469 0
"t_equalvar" 0.5116 0.0434 0.020204081632653
"t_equalvar" 0.5183 0.0439 0.0606122448979591
"t_equalvar" 0.5103 0.0378 0.101020408163265
"t_equalvar" 0.5214 0.0342 0.141428571428571
"t_equalvar" 0.5211 0.0306 0.181836734693878
"t_equalvar" 0.5198 0.0255 0.222244897959184
"t_equalvar" 0.5184 0.0207 0.26265306122449
"t_equalvar" 0.52 0.0175 0.303061224489796
"t_equalvar" 0.5191 0.0146 0.343469387755102
"t_equalvar" 0.5314 0.0122 0.383877551020408
"t_equalvar" 0.5204 0.0097 0.424285714285714
"t_equalvar" 0.5265 0.0076 0.46469387755102
"t_equalvar" 0.5179 0.0066 0.505102040816326
"t_equalvar" 0.5256 0.005 0.545510204081633
"t_equalvar" 0.5259 0.0021 0.585918367346939
"t_equalvar" 0.5159 0.0017 0.626326530612245
"t_equalvar" 0.5358 7e-04 0.666734693877551
"t_equalvar" 0.533 1e-04 0.707142857142857
"t_equalvar" 0.5354 2e-04 0.747551020408163
"t_equalvar" 0.5232 0 0.787959183673469
"t_equalvar" 0.5322 0 0.828367346938776
"t_equalvar" 0.5398 0 0.868775510204082
"t_equalvar" 0.5492 0 0.909183673469388
"t_equalvar" 0.5516 0 0.949591836734694
"t_equalvar" 0.5709 0 0.99
