"Method" "power" "error" "r"
"ar_stat" 0.2853 0.0461 -0.99
"ar_stat" 0.29 0.0412 -0.949591836734694
"ar_stat" 0.3019 0.0458 -0.909183673469388
"ar_stat" 0.3029 0.0434 -0.868775510204082
"ar_stat" 0.3089 0.0478 -0.828367346938776
"ar_stat" 0.3145 0.0461 -0.787959183673469
"ar_stat" 0.3213 0.0466 -0.747551020408163
"ar_stat" 0.3293 0.0479 -0.707142857142857
"ar_stat" 0.3335 0.0485 -0.666734693877551
"ar_stat" 0.343 0.0462 -0.626326530612245
"ar_stat" 0.349 0.0484 -0.585918367346939
"ar_stat" 0.3565 0.0499 -0.545510204081633
"ar_stat" 0.3621 0.0466 -0.505102040816326
"ar_stat" 0.3653 0.0464 -0.46469387755102
"ar_stat" 0.3703 0.0457 -0.424285714285714
"ar_stat" 0.3835 0.0483 -0.383877551020408
"ar_stat" 0.3989 0.0475 -0.343469387755102
"ar_stat" 0.3994 0.0448 -0.303061224489796
"ar_stat" 0.4216 0.0447 -0.26265306122449
"ar_stat" 0.4381 0.0472 -0.222244897959184
"ar_stat" 0.4362 0.0534 -0.181836734693878
"ar_stat" 0.4604 0.0452 -0.141428571428571
"ar_stat" 0.4666 0.0453 -0.101020408163265
"ar_stat" 0.4792 0.0473 -0.0606122448979592
"ar_stat" 0.5002 0.0456 -0.0202040816326531
"ar_stat" 0.509 0.0465 0
"ar_stat" 0.5137 0.045 0.020204081632653
"ar_stat" 0.5382 0.05 0.0606122448979591
"ar_stat" 0.5452 0.0487 0.101020408163265
"ar_stat" 0.5761 0.0462 0.141428571428571
"ar_stat" 0.5957 0.0496 0.181836734693878
"ar_stat" 0.6146 0.0449 0.222244897959184
"ar_stat" 0.6368 0.0449 0.26265306122449
"ar_stat" 0.6683 0.0461 0.303061224489796
"ar_stat" 0.6821 0.0466 0.343469387755102
"ar_stat" 0.7281 0.0464 0.383877551020408
"ar_stat" 0.7483 0.0456 0.424285714285714
"ar_stat" 0.779 0.0492 0.46469387755102
"ar_stat" 0.8 0.0475 0.505102040816326
"ar_stat" 0.8385 0.0468 0.545510204081633
"ar_stat" 0.8665 0.0463 0.585918367346939
"ar_stat" 0.9012 0.0491 0.626326530612245
"ar_stat" 0.9328 0.0463 0.666734693877551
"ar_stat" 0.9586 0.044 0.707142857142857
"ar_stat" 0.9768 0.0419 0.747551020408163
"ar_stat" 0.9914 0.0488 0.787959183673469
"ar_stat" 0.9974 0.0487 0.828367346938776
"ar_stat" 0.9999 0.0502 0.868775510204082
"ar_stat" 1 0.0461 0.909183673469388
"ar_stat" 1 0.0487 0.949591836734694
"ar_stat" 1 0.0478 0.99
"t_paired" 0.2928 0.0484 -0.99
"t_paired" 0.2996 0.0443 -0.949591836734694
"t_paired" 0.3106 0.0484 -0.909183673469388
"t_paired" 0.3111 0.0464 -0.868775510204082
"t_paired" 0.3196 0.0502 -0.828367346938776
"t_paired" 0.323 0.0487 -0.787959183673469
"t_paired" 0.3305 0.0489 -0.747551020408163
"t_paired" 0.3369 0.0517 -0.707142857142857
"t_paired" 0.3422 0.0525 -0.666734693877551
"t_paired" 0.3533 0.0487 -0.626326530612245
"t_paired" 0.3583 0.0513 -0.585918367346939
"t_paired" 0.3649 0.0539 -0.545510204081633
"t_paired" 0.3701 0.0498 -0.505102040816326
"t_paired" 0.3765 0.0487 -0.46469387755102
"t_paired" 0.3796 0.049 -0.424285714285714
"t_paired" 0.3911 0.0521 -0.383877551020408
"t_paired" 0.4105 0.05 -0.343469387755102
"t_paired" 0.4088 0.0478 -0.303061224489796
"t_paired" 0.4307 0.0475 -0.26265306122449
"t_paired" 0.4495 0.0508 -0.222244897959184
"t_paired" 0.4483 0.0557 -0.181836734693878
"t_paired" 0.4694 0.0473 -0.141428571428571
