"Method" "power" "error" "r"
"ar_stat" 0.797 0.0461 -0.99
"ar_stat" 0.8078 0.0412 -0.949591836734694
"ar_stat" 0.8152 0.0458 -0.909183673469388
"ar_stat" 0.818 0.0434 -0.868775510204082
"ar_stat" 0.8391 0.0478 -0.828367346938776
"ar_stat" 0.8455 0.0461 -0.787959183673469
"ar_stat" 0.8554 0.0466 -0.747551020408163
"ar_stat" 0.8596 0.0479 -0.707142857142857
"ar_stat" 0.864 0.0485 -0.666734693877551
"ar_stat" 0.879 0.0462 -0.626326530612245
"ar_stat" 0.8821 0.0484 -0.585918367346939
"ar_stat" 0.8895 0.0499 -0.545510204081633
"ar_stat" 0.901 0.0466 -0.505102040816326
"ar_stat" 0.9063 0.0464 -0.46469387755102
"ar_stat" 0.9136 0.0457 -0.424285714285714
"ar_stat" 0.9216 0.0483 -0.383877551020408
"ar_stat" 0.9278 0.0475 -0.343469387755102
"ar_stat" 0.9376 0.0448 -0.303061224489796
"ar_stat" 0.9416 0.0447 -0.26265306122449
"ar_stat" 0.9489 0.0472 -0.222244897959184
"ar_stat" 0.9556 0.0534 -0.181836734693878
"ar_stat" 0.9615 0.0452 -0.141428571428571
"ar_stat" 0.9651 0.0453 -0.101020408163265
"ar_stat" 0.9698 0.0473 -0.0606122448979592
"ar_stat" 0.9765 0.0456 -0.0202040816326531
"ar_stat" 0.9789 0.0465 0
"ar_stat" 0.9811 0.045 0.020204081632653
"ar_stat" 0.9845 0.05 0.0606122448979591
"ar_stat" 0.9869 0.0487 0.101020408163265
"ar_stat" 0.9884 0.0462 0.141428571428571
"ar_stat" 0.9932 0.0496 0.181836734693878
"ar_stat" 0.995 0.0449 0.222244897959184
"ar_stat" 0.9959 0.0449 0.26265306122449
"ar_stat" 0.9982 0.0461 0.303061224489796
"ar_stat" 0.9983 0.0466 0.343469387755102
"ar_stat" 0.9993 0.0464 0.383877551020408
"ar_stat" 0.9992 0.0456 0.424285714285714
"ar_stat" 0.9995 0.0492 0.46469387755102
"ar_stat" 0.9999 0.0475 0.505102040816326
"ar_stat" 1 0.0468 0.545510204081633
"ar_stat" 0.9999 0.0463 0.585918367346939
"ar_stat" 1 0.0491 0.626326530612245
"ar_stat" 1 0.0463 0.666734693877551
"ar_stat" 1 0.044 0.707142857142857
"ar_stat" 1 0.0419 0.747551020408163
"ar_stat" 1 0.0488 0.787959183673469
"ar_stat" 1 0.0487 0.828367346938776
"ar_stat" 1 0.0502 0.868775510204082
"ar_stat" 1 0.0461 0.909183673469388
"ar_stat" 1 0.0487 0.949591836734694
"ar_stat" 1 0.0478 0.99
"t_paired" 0.8048 0.0484 -0.99
"t_paired" 0.8137 0.0443 -0.949591836734694
"t_paired" 0.8225 0.0484 -0.909183673469388
"t_paired" 0.8247 0.0464 -0.868775510204082
"t_paired" 0.8472 0.0502 -0.828367346938776
"t_paired" 0.8537 0.0487 -0.787959183673469
"t_paired" 0.862 0.0489 -0.747551020408163
"t_paired" 0.8659 0.0517 -0.707142857142857
"t_paired" 0.8709 0.0525 -0.666734693877551
"t_paired" 0.8829 0.0487 -0.626326530612245
"t_paired" 0.8859 0.0513 -0.585918367346939
"t_paired" 0.8953 0.0539 -0.545510204081633
"t_paired" 0.9051 0.0498 -0.505102040816326
"t_paired" 0.9095 0.0487 -0.46469387755102
"t_paired" 0.917 0.049 -0.424285714285714
"t_paired" 0.9253 0.0521 -0.383877551020408
"t_paired" 0.9318 0.05 -0.343469387755102
"t_paired" 0.941 0.0478 -0.303061224489796
"t_paired" 0.9449 0.0475 -0.26265306122449
"t_paired" 0.9518 0.0508 -0.222244897959184
"t_paired" 0.9575 0.0557 -0.181836734693878
"t_paired" 0.9637 0.0473 -0.141428571428571
"t_paired" 0.9683 0.0478 -0.101020408163265
"t_paired" 0.9715 0.0509 -0.0606122448979592
"t_paired" 0.9776 0.0485 -0.0202040816326531
"t_paired" 0.9808 0.0486 0
"t_paired" 0.982 0.0475 0.020204081632653
"t_paired" 0.9855 0.0529 0.0606122448979591
"t_paired" 0.988 0.0515 0.101020408163265
"t_paired" 0.9892 0.0487 0.141428571428571
"t_paired" 0.9936 0.0528 0.181836734693878
"t_paired" 0.9953 0.048 0.222244897959184
"t_paired" 0.9963 0.0479 0.26265306122449
"t_paired" 0.9984 0.0489 0.303061224489796
"t_paired" 0.9983 0.0496 0.343469387755102
"t_paired" 0.9993 0.049 0.383877551020408
"t_paired" 0.9994 0.049 0.424285714285714
"t_paired" 0.9995 0.051 0.46469387755102
"t_paired" 0.9999 0.0502 0.505102040816326
"t_paired" 1 0.0495 0.545510204081633
"t_paired" 0.9999 0.0492 0.585918367346939
"t_paired" 1 0.0515 0.626326530612245
"t_paired" 1 0.0488 0.666734693877551
"t_paired" 1 0.0472 0.707142857142857
"t_paired" 1 0.045 0.747551020408163
"t_paired" 1 0.0516 0.787959183673469
"t_paired" 1 0.0525 0.828367346938776
"t_paired" 1 0.0533 0.868775510204082
"t_paired" 1 0.0482 0.909183673469388
"t_paired" 1 0.0516 0.949591836734694
"t_paired" 1 0.0507 0.99
"t_equalvar" 0.9291 0.1651 -0.99
"t_equalvar" 0.9276 0.1511 -0.949591836734694
"t_equalvar" 0.9294 0.1505 -0.909183673469388
"t_equalvar" 0.9299 0.149 -0.868775510204082
"t_equalvar" 0.9356 0.1463 -0.828367346938776
"t_equalvar" 0.9415 0.1394 -0.787959183673469
"t_equalvar" 0.9434 0.1353 -0.747551020408163
"t_equalvar" 0.9438 0.1256 -0.707142857142857
"t_equalvar" 0.9447 0.1271 -0.666734693877551
"t_equalvar" 0.949 0.1172 -0.626326530612245
"t_equalvar" 0.9514 0.116 -0.585918367346939
"t_equalvar" 0.9493 0.1097 -0.545510204081633
"t_equalvar" 0.9539 0.1026 -0.505102040816326
"t_equalvar" 0.9561 0.1006 -0.46469387755102
"t_equalvar" 0.9572 0.0969 -0.424285714285714
"t_equalvar" 0.9588 0.0933 -0.383877551020408
"t_equalvar" 0.962 0.0847 -0.343469387755102
"t_equalvar" 0.9651 0.0817 -0.303061224489796
"t_equalvar" 0.9666 0.0753 -0.26265306122449
"t_equalvar" 0.969 0.0731 -0.222244897959184
"t_equalvar" 0.9709 0.073 -0.181836734693878
"t_equalvar" 0.9745 0.0598 -0.141428571428571
"t_equalvar" 0.9761 0.0578 -0.101020408163265
"t_equalvar" 0.9751 0.0533 -0.0606122448979592
"t_equalvar" 0.9806 0.0479 -0.0202040816326531
"t_equalvar" 0.9813 0.0469 0
"t_equalvar" 0.9807 0.0434 0.020204081632653
"t_equalvar" 0.984 0.0439 0.0606122448979591
"t_equalvar" 0.9847 0.0378 0.101020408163265
"t_equalvar" 0.9854 0.0342 0.141428571428571
"t_equalvar" 0.989 0.0306 0.181836734693878
"t_equalvar" 0.991 0.0255 0.222244897959184
"t_equalvar" 0.9907 0.0207 0.26265306122449
"t_equalvar" 0.994 0.0175 0.303061224489796
"t_equalvar" 0.9929 0.0146 0.343469387755102
"t_equalvar" 0.9962 0.0122 0.383877551020408
"t_equalvar" 0.9958 0.0097 0.424285714285714
"t_equalvar" 0.9976 0.0076 0.46469387755102
"t_equalvar" 0.9984 0.0066 0.505102040816326
"t_equalvar" 0.9981 0.005 0.545510204081633
"t_equalvar" 0.9987 0.0021 0.585918367346939
"t_equalvar" 0.9997 0.0017 0.626326530612245
"t_equalvar" 0.9997 7e-04 0.666734693877551
"t_equalvar" 0.9997 1e-04 0.707142857142857
"t_equalvar" 0.9999 2e-04 0.747551020408163
"t_equalvar" 1 0 0.787959183673469
"t_equalvar" 1 0 0.828367346938776
"t_equalvar" 1 0 0.868775510204082
"t_equalvar" 1 0 0.909183673469388
"t_equalvar" 1 0 0.949591836734694
"t_equalvar" 1 0 0.99
