"Method" "power" "eta"
"ar_sample_cor" 0.9971 -1
"ar_sample_cor" 0.995 -0.959183673469388
"ar_sample_cor" 0.9904 -0.918367346938776
"ar_sample_cor" 0.9852 -0.877551020408163
"ar_sample_cor" 0.9727 -0.836734693877551
"ar_sample_cor" 0.9578 -0.795918367346939
"ar_sample_cor" 0.9338 -0.755102040816326
"ar_sample_cor" 0.9021 -0.714285714285714
"ar_sample_cor" 0.8713 -0.673469387755102
"ar_sample_cor" 0.8208 -0.63265306122449
"ar_sample_cor" 0.7583 -0.591836734693878
"ar_sample_cor" 0.7021 -0.551020408163265
"ar_sample_cor" 0.6156 -0.510204081632653
"ar_sample_cor" 0.5425 -0.469387755102041
"ar_sample_cor" 0.4628 -0.428571428571429
"ar_sample_cor" 0.3996 -0.387755102040816
"ar_sample_cor" 0.3173 -0.346938775510204
"ar_sample_cor" 0.2559 -0.306122448979592
"ar_sample_cor" 0.1987 -0.26530612244898
"ar_sample_cor" 0.1595 -0.224489795918367
"ar_sample_cor" 0.1169 -0.183673469387755
"ar_sample_cor" 0.0903 -0.142857142857143
"ar_sample_cor" 0.0734 -0.102040816326531
"ar_sample_cor" 0.0594 -0.0612244897959184
"ar_sample_cor" 0.0471 -0.0204081632653061
"ar_sample_cor" 0.0505 0
"ar_sample_cor" 0.0526 0.0204081632653061
"ar_sample_cor" 0.0549 0.0612244897959182
"ar_sample_cor" 0.0726 0.102040816326531
"ar_sample_cor" 0.0872 0.142857142857143
"ar_sample_cor" 0.1154 0.183673469387755
"ar_sample_cor" 0.1571 0.224489795918367
"ar_sample_cor" 0.2042 0.265306122448979
"ar_sample_cor" 0.2575 0.306122448979592
"ar_sample_cor" 0.3217 0.346938775510204
"ar_sample_cor" 0.3967 0.387755102040816
"ar_sample_cor" 0.4703 0.428571428571428
"ar_sample_cor" 0.5507 0.469387755102041
"ar_sample_cor" 0.6198 0.510204081632653
"ar_sample_cor" 0.7051 0.551020408163265
"ar_sample_cor" 0.7585 0.591836734693877
"ar_sample_cor" 0.8203 0.63265306122449
"ar_sample_cor" 0.8713 0.673469387755102
"ar_sample_cor" 0.9089 0.714285714285714
"ar_sample_cor" 0.9347 0.755102040816326
"ar_sample_cor" 0.9586 0.795918367346939
"ar_sample_cor" 0.9753 0.836734693877551
"ar_sample_cor" 0.9836 0.877551020408163
"ar_sample_cor" 0.9898 0.918367346938775
"ar_sample_cor" 0.995 0.959183673469388
"ar_sample_cor" 0.9971 1
"ar_pop_cor" 0.9977 -1
"ar_pop_cor" 0.9959 -0.959183673469388
"ar_pop_cor" 0.9919 -0.918367346938776
"ar_pop_cor" 0.9865 -0.877551020408163
"ar_pop_cor" 0.9748 -0.836734693877551
"ar_pop_cor" 0.9605 -0.795918367346939
"ar_pop_cor" 0.94 -0.755102040816326
"ar_pop_cor" 0.9116 -0.714285714285714
"ar_pop_cor" 0.8806 -0.673469387755102
"ar_pop_cor" 0.8302 -0.63265306122449
"ar_pop_cor" 0.7718 -0.591836734693878
"ar_pop_cor" 0.7138 -0.551020408163265
"ar_pop_cor" 0.6301 -0.510204081632653
"ar_pop_cor" 0.5561 -0.469387755102041
"ar_pop_cor" 0.4759 -0.428571428571429
"ar_pop_cor" 0.4132 -0.387755102040816
"ar_pop_cor" 0.3335 -0.346938775510204
"ar_pop_cor" 0.2659 -0.306122448979592
"ar_pop_cor" 0.2047 -0.26530612244898
"ar_pop_cor" 0.1673 -0.224489795918367
"ar_pop_cor" 0.1184 -0.183673469387755
"ar_pop_cor" 0.0934 -0.142857142857143
"ar_pop_cor" 0.076 -0.102040816326531
"ar_pop_cor" 0.0603 -0.0612244897959184
"ar_pop_cor" 0.0476 -0.0204081632653061
"ar_pop_cor" 0.0527 0
"ar_pop_cor" 0.0535 0.0204081632653061
"ar_pop_cor" 0.0578 0.0612244897959182
"ar_pop_cor" 0.0733 0.102040816326531
"ar_pop_cor" 0.0887 0.142857142857143
"ar_pop_cor" 0.1175 0.183673469387755
"ar_pop_cor" 0.1615 0.224489795918367
"ar_pop_cor" 0.2129 0.265306122448979
"ar_pop_cor" 0.2668 0.306122448979592
"ar_pop_cor" 0.3291 0.346938775510204
"ar_pop_cor" 0.4054 0.387755102040816
"ar_pop_cor" 0.4832 0.428571428571428
"ar_pop_cor" 0.5624 0.469387755102041
"ar_pop_cor" 0.6382 0.510204081632653
"ar_pop_cor" 0.7197 0.551020408163265
"ar_pop_cor" 0.7712 0.591836734693877
"ar_pop_cor" 0.8287 0.63265306122449
"ar_pop_cor" 0.8794 0.673469387755102
"ar_pop_cor" 0.9161 0.714285714285714
"ar_pop_cor" 0.9403 0.755102040816326
"ar_pop_cor" 0.964 0.795918367346939
"ar_pop_cor" 0.9782 0.836734693877551
"ar_pop_cor" 0.9858 0.877551020408163
"ar_pop_cor" 0.9914 0.918367346938775
"ar_pop_cor" 0.9956 0.959183673469388
"ar_pop_cor" 0.9975 1
"LR" 0.9954 -1
"LR" 0.9906 -0.959183673469388
"LR" 0.9845 -0.918367346938776
"LR" 0.9794 -0.877551020408163
"LR" 0.9652 -0.836734693877551
"LR" 0.9503 -0.795918367346939
"LR" 0.9254 -0.755102040816326
"LR" 0.8949 -0.714285714285714
"LR" 0.8585 -0.673469387755102
"LR" 0.8079 -0.63265306122449
"LR" 0.7519 -0.591836734693878
"LR" 0.6953 -0.551020408163265
"LR" 0.6153 -0.510204081632653
"LR" 0.5491 -0.469387755102041
"LR" 0.472 -0.428571428571429
"LR" 0.4083 -0.387755102040816
"LR" 0.337 -0.346938775510204
"LR" 0.2753 -0.306122448979592
"LR" 0.2137 -0.26530612244898
"LR" 0.175 -0.224489795918367
"LR" 0.131 -0.183673469387755
"LR" 0.1057 -0.142857142857143
"LR" 0.0872 -0.102040816326531
"LR" 0.073 -0.0612244897959184
"LR" 0.0641 -0.0204081632653061
"LR" 0.0621 0
"LR" 0.0627 0.0204081632653061
"LR" 0.0693 0.0612244897959182
"LR" 0.0886 0.102040816326531
"LR" 0.1043 0.142857142857143
"LR" 0.1318 0.183673469387755
"LR" 0.1762 0.224489795918367
"LR" 0.2213 0.265306122448979
"LR" 0.2755 0.306122448979592
"LR" 0.3364 0.346938775510204
"LR" 0.4097 0.387755102040816
"LR" 0.4821 0.428571428571428
"LR" 0.5532 0.469387755102041
"LR" 0.6227 0.510204081632653
"LR" 0.7005 0.551020408163265
"LR" 0.7503 0.591836734693877
"LR" 0.8101 0.63265306122449
"LR" 0.8601 0.673469387755102
"LR" 0.8983 0.714285714285714
"LR" 0.9237 0.755102040816326
"LR" 0.9531 0.795918367346939
"LR" 0.969 0.836734693877551
"LR" 0.9794 0.877551020408163
"LR" 0.9861 0.918367346938775
"LR" 0.9916 0.959183673469388
"LR" 0.9953 1
"EL" 0.9954 -1
"EL" 0.9933 -0.959183673469388
"EL" 0.9871 -0.918367346938776
"EL" 0.9816 -0.877551020408163
"EL" 0.9713 -0.836734693877551
"EL" 0.9567 -0.795918367346939
"EL" 0.9347 -0.755102040816326
"EL" 0.9068 -0.714285714285714
"EL" 0.8753 -0.673469387755102
"EL" 0.8292 -0.63265306122449
"EL" 0.7793 -0.591836734693878
"EL" 0.7251 -0.551020408163265
"EL" 0.6499 -0.510204081632653
"EL" 0.5829 -0.469387755102041
"EL" 0.5094 -0.428571428571429
"EL" 0.442 -0.387755102040816
"EL" 0.3768 -0.346938775510204
"EL" 0.3121 -0.306122448979592
"EL" 0.2449 -0.26530612244898
"EL" 0.2028 -0.224489795918367
"EL" 0.1546 -0.183673469387755
"EL" 0.1253 -0.142857142857143
"EL" 0.1073 -0.102040816326531
"EL" 0.09 -0.0612244897959184
"EL" 0.0794 -0.0204081632653061
"EL" 0.0776 0
"EL" 0.0794 0.0204081632653061
"EL" 0.0857 0.0612244897959182
"EL" 0.1061 0.102040816326531
"EL" 0.1236 0.142857142857143
"EL" 0.1554 0.183673469387755
"EL" 0.2022 0.224489795918367
"EL" 0.2519 0.265306122448979
"EL" 0.3066 0.306122448979592
"EL" 0.3722 0.346938775510204
"EL" 0.4423 0.387755102040816
"EL" 0.5158 0.428571428571428
"EL" 0.589 0.469387755102041
"EL" 0.6552 0.510204081632653
"EL" 0.7295 0.551020408163265
"EL" 0.7742 0.591836734693877
"EL" 0.8313 0.63265306122449
"EL" 0.8767 0.673469387755102
"EL" 0.9095 0.714285714285714
"EL" 0.9338 0.755102040816326
"EL" 0.9597 0.795918367346939
"EL" 0.9719 0.836734693877551
"EL" 0.9815 0.877551020408163
"EL" 0.9877 0.918367346938775
"EL" 0.993 0.959183673469388
"EL" 0.996 1
