"Method" "power" "error" "r"
"ar_pop_cor" 0.9991 0.0468 -0.626326530612245
"ar_pop_cor" 0.9992 0.0472 -0.585918367346939
"ar_pop_cor" 0.9971 0.0487 -0.545510204081633
"ar_pop_cor" 0.9975 0.05 -0.505102040816326
"ar_pop_cor" 0.9949 0.0459 -0.46469387755102
"ar_pop_cor" 0.9936 0.0496 -0.424285714285714
"ar_pop_cor" 0.9911 0.0495 -0.383877551020408
"ar_pop_cor" 0.9915 0.0458 -0.343469387755102
"ar_pop_cor" 0.9857 0.0487 -0.303061224489796
"ar_pop_cor" 0.9848 0.0485 -0.26265306122449
"ar_pop_cor" 0.9838 0.0483 -0.222244897959184
"ar_pop_cor" 0.9832 0.0529 -0.181836734693878
"ar_pop_cor" 0.9812 0.0474 -0.141428571428571
"ar_pop_cor" 0.9789 0.05 -0.101020408163265
"ar_pop_cor" 0.9802 0.0516 -0.0606122448979592
"ar_pop_cor" 0.9783 0.0467 -0.0202040816326531
"ar_pop_cor" 0.9792 0.0492 0
"ar_pop_cor" 0.977 0.047 0.020204081632653
"ar_pop_cor" 0.9792 0.0496 0.0606122448979591
"ar_pop_cor" 0.9829 0.0508 0.101020408163265
"ar_pop_cor" 0.9819 0.051 0.141428571428571
"ar_pop_cor" 0.9803 0.049 0.181836734693878
"ar_pop_cor" 0.9849 0.0515 0.222244897959184
"ar_pop_cor" 0.9852 0.0483 0.26265306122449
"ar_pop_cor" 0.9879 0.044 0.303061224489796
"ar_pop_cor" 0.9888 0.0473 0.343469387755102
"ar_pop_cor" 0.9918 0.0498 0.383877551020408
"ar_pop_cor" 0.9937 0.0486 0.424285714285714
"ar_pop_cor" 0.9965 0.053 0.46469387755102
"ar_pop_cor" 0.9968 0.0516 0.505102040816326
"ar_pop_cor" 0.9967 0.051 0.545510204081633
"ar_pop_cor" 0.9988 0.0478 0.585918367346939
"ar_pop_cor" 0.9995 0.0527 0.626326530612245
"ar_pop_cor" 0.9996 0.0498 0.666734693877551
"ar_pop_cor" 0.9999 0.0456 0.707142857142857
"ar_pop_cor" 0.9999 0.046 0.747551020408163
"ar_pop_cor" 1 0.053 0.787959183673469
"ar_pop_cor" 1 0.0488 0.828367346938776
"ar_pop_cor" 1 0.0512 0.868775510204082
"ar_pop_cor" 1 0.0519 0.909183673469388
"ar_pop_cor" 1 0.0506 0.949591836734694
"ar_pop_cor" 1 0.0472 0.99
"empirical_likelihood" 1 0.0616 -0.99
"empirical_likelihood" 1 0.056 -0.949591836734694
"empirical_likelihood" 1 0.0579 -0.909183673469388
"empirical_likelihood" 1 0.0582 -0.868775510204082
"empirical_likelihood" 1 0.0606 -0.828367346938776
"empirical_likelihood" 1 0.0591 -0.787959183673469
"empirical_likelihood" 1 0.0588 -0.747551020408163
"empirical_likelihood" 1 0.0585 -0.707142857142857
"empirical_likelihood" 0.9998 0.0571 -0.666734693877551
"empirical_likelihood" 0.9991 0.0576 -0.626326530612245
"empirical_likelihood" 0.9982 0.0596 -0.585918367346939
"empirical_likelihood" 0.9968 0.0598 -0.545510204081633
"empirical_likelihood" 0.9968 0.0602 -0.505102040816326
"empirical_likelihood" 0.9932 0.0573 -0.46469387755102
"empirical_likelihood" 0.9915 0.0613 -0.424285714285714
"empirical_likelihood" 0.9899 0.0594 -0.383877551020408
"empirical_likelihood" 0.989 0.0594 -0.343469387755102
"empirical_likelihood" 0.9824 0.059 -0.303061224489796
"empirical_likelihood" 0.9825 0.0595 -0.26265306122449
"empirical_likelihood" 0.9811 0.0583 -0.222244897959184
"empirical_likelihood" 0.9791 0.0629 -0.181836734693878
"empirical_likelihood" 0.9784 0.0595 -0.141428571428571
"empirical_likelihood" 0.9752 0.0612 -0.101020408163265
"empirical_likelihood" 0.9762 0.0631 -0.0606122448979592
"empirical_likelihood" 0.9753 0.0579 -0.0202040816326531
"empirical_likelihood" 0.9772 0.0599 0
"empirical_likelihood" 0.9765 0.0567 0.020204081632653
"empirical_likelihood" 0.9754 0.0591 0.0606122448979591
"empirical_likelihood" 0.979 0.0611 0.101020408163265
"empirical_likelihood" 0.9793 0.0638 0.141428571428571
"empirical_likelihood" 0.9785 0.0616 0.181836734693878
"empirical_likelihood" 0.9809 0.0596 0.222244897959184
"empirical_likelihood" 0.983 0.0603 0.26265306122449
"empirical_likelihood" 0.9849 0.0576 0.303061224489796
"empirical_likelihood" 0.9857 0.0615 0.343469387755102
"empirical_likelihood" 0.9912 0.0619 0.383877551020408
"empirical_likelihood" 0.9922 0.0571 0.424285714285714
"empirical_likelihood" 0.9942 0.0631 0.46469387755102
"empirical_likelihood" 0.9965 0.0625 0.505102040816326
"empirical_likelihood" 0.9956 0.0618 0.545510204081633
"empirical_likelihood" 0.9981 0.0598 0.585918367346939
"empirical_likelihood" 0.9993 0.0617 0.626326530612245
"empirical_likelihood" 0.9994 0.0608 0.666734693877551
"empirical_likelihood" 0.9999 0.0565 0.707142857142857
"empirical_likelihood" 0.9999 0.0563 0.747551020408163
"empirical_likelihood" 1 0.0615 0.787959183673469
"empirical_likelihood" 1 0.0581 0.828367346938776
"empirical_likelihood" 1 0.0612 0.868775510204082
"empirical_likelihood" 1 0.0617 0.909183673469388
"empirical_likelihood" 1 0.0604 0.949591836734694
"empirical_likelihood" 1 0.0558 0.99
"LR" 1 0.0556 -0.99
"LR" 1 0.0527 -0.949591836734694
"LR" 1 0.0552 -0.909183673469388
"LR" 1 0.0541 -0.868775510204082
"LR" 1 0.0576 -0.828367346938776
"LR" 1 0.0542 -0.787959183673469
"LR" 1 0.0539 -0.747551020408163
"LR" 1 0.0544 -0.707142857142857
"LR" 0.9997 0.0521 -0.666734693877551
"LR" 0.9991 0.0542 -0.626326530612245
"LR" 0.9983 0.0542 -0.585918367346939
"LR" 0.9968 0.0569 -0.545510204081633
"LR" 0.9966 0.0569 -0.505102040816326
"LR" 0.9925 0.0546 -0.46469387755102
"LR" 0.9914 0.0589 -0.424285714285714
"LR" 0.9891 0.0563 -0.383877551020408
"LR" 0.9885 0.0544 -0.343469387755102
"LR" 0.9829 0.0545 -0.303061224489796
"LR" 0.9821 0.0545 -0.26265306122449
"LR" 0.9808 0.0538 -0.222244897959184
"LR" 0.9792 0.0587 -0.181836734693878
"LR" 0.9769 0.0563 -0.141428571428571
"LR" 0.9756 0.0573 -0.101020408163265
"LR" 0.9757 0.059 -0.0606122448979592
"LR" 0.9727 0.0539 -0.0202040816326531
"LR" 0.9761 0.0547 0
"LR" 0.9746 0.0545 0.020204081632653
"LR" 0.9743 0.0557 0.0606122448979591
"LR" 0.9789 0.0556 0.101020408163265
"LR" 0.9791 0.059 0.141428571428571
"LR" 0.9776 0.0574 0.181836734693878
"LR" 0.9795 0.0571 0.222244897959184
"LR" 0.9822 0.0571 0.26265306122449
"LR" 0.9847 0.0548 0.303061224489796
"LR" 0.9847 0.0583 0.343469387755102
"LR" 0.9912 0.0574 0.383877551020408
"LR" 0.9922 0.0553 0.424285714285714
"LR" 0.9944 0.0599 0.46469387755102
"LR" 0.9962 0.0582 0.505102040816326
"LR" 0.9954 0.0583 0.545510204081633
"LR" 0.9982 0.0559 0.585918367346939
"LR" 0.9993 0.0578 0.626326530612245
"LR" 0.9994 0.0572 0.666734693877551
"LR" 0.9998 0.0519 0.707142857142857
"LR" 0.9999 0.0523 0.747551020408163
"LR" 1 0.0585 0.787959183673469
"LR" 1 0.0539 0.828367346938776
"LR" 1 0.0572 0.868775510204082
"LR" 1 0.0583 0.909183673469388
"LR" 1 0.0571 0.949591836734694
"LR" 1 0.0519 0.99
