"Method" "power" "eta"
"ar_sample_cor" 1 -1
"ar_sample_cor" 1 -0.959183673469388
"ar_sample_cor" 1 -0.918367346938776
"ar_sample_cor" 1 -0.877551020408163
"ar_sample_cor" 1 -0.836734693877551
"ar_sample_cor" 1 -0.795918367346939
"ar_sample_cor" 1 -0.755102040816326
"ar_sample_cor" 0.9997 -0.714285714285714
"ar_sample_cor" 0.9996 -0.673469387755102
"ar_sample_cor" 0.9973 -0.63265306122449
"ar_sample_cor" 0.9929 -0.591836734693878
"ar_sample_cor" 0.9833 -0.551020408163265
"ar_sample_cor" 0.9646 -0.510204081632653
"ar_sample_cor" 0.9323 -0.469387755102041
"ar_sample_cor" 0.8743 -0.428571428571429
"ar_sample_cor" 0.8019 -0.387755102040816
"ar_sample_cor" 0.7095 -0.346938775510204
"ar_sample_cor" 0.5913 -0.306122448979592
"ar_sample_cor" 0.4741 -0.26530612244898
"ar_sample_cor" 0.3549 -0.224489795918367
"ar_sample_cor" 0.2504 -0.183673469387755
"ar_sample_cor" 0.1642 -0.142857142857143
"ar_sample_cor" 0.1069 -0.102040816326531
"ar_sample_cor" 0.0765 -0.0612244897959184
"ar_sample_cor" 0.0639 -0.0204081632653061
"ar_sample_cor" 0.0544 0
"ar_sample_cor" 0.0563 0.0204081632653061
"ar_sample_cor" 0.0762 0.0612244897959182
"ar_sample_cor" 0.1083 0.102040816326531
"ar_sample_cor" 0.1713 0.142857142857143
"ar_sample_cor" 0.251 0.183673469387755
"ar_sample_cor" 0.3488 0.224489795918367
"ar_sample_cor" 0.4706 0.265306122448979
"ar_sample_cor" 0.5925 0.306122448979592
"ar_sample_cor" 0.7165 0.346938775510204
"ar_sample_cor" 0.8037 0.387755102040816
"ar_sample_cor" 0.8808 0.428571428571428
"ar_sample_cor" 0.9309 0.469387755102041
"ar_sample_cor" 0.9633 0.510204081632653
"ar_sample_cor" 0.9811 0.551020408163265
"ar_sample_cor" 0.9931 0.591836734693877
"ar_sample_cor" 0.9963 0.63265306122449
"ar_sample_cor" 0.9988 0.673469387755102
"ar_sample_cor" 1 0.714285714285714
"ar_sample_cor" 1 0.755102040816326
"ar_sample_cor" 1 0.795918367346939
"ar_sample_cor" 1 0.836734693877551
"ar_sample_cor" 1 0.877551020408163
"ar_sample_cor" 1 0.918367346938775
"ar_sample_cor" 1 0.959183673469388
"ar_sample_cor" 1 1
"ar_pop_cor" 1 -1
"ar_pop_cor" 1 -0.959183673469388
"ar_pop_cor" 1 -0.918367346938776
"ar_pop_cor" 1 -0.877551020408163
"ar_pop_cor" 1 -0.836734693877551
"ar_pop_cor" 1 -0.795918367346939
"ar_pop_cor" 1 -0.755102040816326
"ar_pop_cor" 0.9998 -0.714285714285714
"ar_pop_cor" 0.9997 -0.673469387755102
"ar_pop_cor" 0.997 -0.63265306122449
"ar_pop_cor" 0.9928 -0.591836734693878
"ar_pop_cor" 0.9849 -0.551020408163265
"ar_pop_cor" 0.9658 -0.510204081632653
"ar_pop_cor" 0.9339 -0.469387755102041
"ar_pop_cor" 0.8779 -0.428571428571429
"ar_pop_cor" 0.8068 -0.387755102040816
"ar_pop_cor" 0.7126 -0.346938775510204
"ar_pop_cor" 0.5932 -0.306122448979592
"ar_pop_cor" 0.4777 -0.26530612244898
"ar_pop_cor" 0.3586 -0.224489795918367
"ar_pop_cor" 0.2532 -0.183673469387755
"ar_pop_cor" 0.1664 -0.142857142857143
"ar_pop_cor" 0.1106 -0.102040816326531
"ar_pop_cor" 0.0752 -0.0612244897959184
"ar_pop_cor" 0.0631 -0.0204081632653061
"ar_pop_cor" 0.0537 0
"ar_pop_cor" 0.0564 0.0204081632653061
"ar_pop_cor" 0.0746 0.0612244897959182
"ar_pop_cor" 0.1084 0.102040816326531
"ar_pop_cor" 0.174 0.142857142857143
