"Method" "power" "error" "r"
"empirical_likelihood" 0.915 0.0576 -0.626326530612245
"empirical_likelihood" 0.8947 0.0596 -0.585918367346939
"empirical_likelihood" 0.8752 0.0598 -0.545510204081633
"empirical_likelihood" 0.864 0.0602 -0.505102040816326
"empirical_likelihood" 0.8262 0.0573 -0.46469387755102
"empirical_likelihood" 0.811 0.0613 -0.424285714285714
"empirical_likelihood" 0.7988 0.0594 -0.383877551020408
"empirical_likelihood" 0.7864 0.0594 -0.343469387755102
"empirical_likelihood" 0.764 0.059 -0.303061224489796
"empirical_likelihood" 0.7629 0.0595 -0.26265306122449
"empirical_likelihood" 0.7546 0.0583 -0.222244897959184
"empirical_likelihood" 0.7538 0.0629 -0.181836734693878
"empirical_likelihood" 0.742 0.0595 -0.141428571428571
"empirical_likelihood" 0.7321 0.0612 -0.101020408163265
"empirical_likelihood" 0.7345 0.0631 -0.0606122448979592
"empirical_likelihood" 0.735 0.0579 -0.0202040816326531
"empirical_likelihood" 0.733 0.0599 0
"empirical_likelihood" 0.7281 0.0567 0.020204081632653
"empirical_likelihood" 0.7381 0.0591 0.0606122448979591
"empirical_likelihood" 0.7423 0.0611 0.101020408163265
"empirical_likelihood" 0.7404 0.0638 0.141428571428571
"empirical_likelihood" 0.7437 0.0616 0.181836734693878
"empirical_likelihood" 0.7557 0.0596 0.222244897959184
"empirical_likelihood" 0.7631 0.0603 0.26265306122449
"empirical_likelihood" 0.7793 0.0576 0.303061224489796
"empirical_likelihood" 0.787 0.0615 0.343469387755102
"empirical_likelihood" 0.8079 0.0619 0.383877551020408
"empirical_likelihood" 0.8178 0.0571 0.424285714285714
"empirical_likelihood" 0.8372 0.0631 0.46469387755102
"empirical_likelihood" 0.8487 0.0625 0.505102040816326
"empirical_likelihood" 0.868 0.0618 0.545510204081633
"empirical_likelihood" 0.8949 0.0598 0.585918367346939
"empirical_likelihood" 0.9158 0.0617 0.626326530612245
"empirical_likelihood" 0.9417 0.0608 0.666734693877551
"empirical_likelihood" 0.9584 0.0565 0.707142857142857
"empirical_likelihood" 0.9761 0.0563 0.747551020408163
"empirical_likelihood" 0.9893 0.0615 0.787959183673469
"empirical_likelihood" 0.997 0.0581 0.828367346938776
"empirical_likelihood" 0.9999 0.0612 0.868775510204082
"empirical_likelihood" 1 0.0617 0.909183673469388
"empirical_likelihood" 1 0.0604 0.949591836734694
"empirical_likelihood" 1 0.0558 0.99
"LR" 1 0.0556 -0.99
"LR" 1 0.0527 -0.949591836734694
"LR" 1 0.0552 -0.909183673469388
"LR" 0.9999 0.0541 -0.868775510204082
"LR" 0.9967 0.0576 -0.828367346938776
"LR" 0.9893 0.0542 -0.787959183673469
"LR" 0.9736 0.0539 -0.747551020408163
"LR" 0.9565 0.0544 -0.707142857142857
"LR" 0.9359 0.0521 -0.666734693877551
"LR" 0.9127 0.0542 -0.626326530612245
"LR" 0.8933 0.0542 -0.585918367346939
"LR" 0.8704 0.0569 -0.545510204081633
"LR" 0.8584 0.0569 -0.505102040816326
"LR" 0.8216 0.0546 -0.46469387755102
"LR" 0.8024 0.0589 -0.424285714285714
"LR" 0.7955 0.0563 -0.383877551020408
"LR" 0.7826 0.0544 -0.343469387755102
"LR" 0.7596 0.0545 -0.303061224489796
"LR" 0.7558 0.0545 -0.26265306122449
"LR" 0.7486 0.0538 -0.222244897959184
"LR" 0.7503 0.0587 -0.181836734693878
"LR" 0.7335 0.0563 -0.141428571428571
"LR" 0.7244 0.0573 -0.101020408163265
"LR" 0.7293 0.059 -0.0606122448979592
"LR" 0.7309 0.0539 -0.0202040816326531
"LR" 0.7283 0.0547 0
"LR" 0.7223 0.0545 0.020204081632653
"LR" 0.7327 0.0557 0.0606122448979591
"LR" 0.7351 0.0556 0.101020408163265
"LR" 0.7366 0.059 0.141428571428571
"LR" 0.7381 0.0574 0.181836734693878
"LR" 0.7511 0.0571 0.222244897959184
"LR" 0.7571 0.0571 0.26265306122449
"LR" 0.7724 0.0548 0.303061224489796
"LR" 0.7802 0.0583 0.343469387755102
"LR" 0.8025 0.0574 0.383877551020408
"LR" 0.8154 0.0553 0.424285714285714
"LR" 0.83 0.0599 0.46469387755102
"LR" 0.8442 0.0582 0.505102040816326
"LR" 0.8651 0.0583 0.545510204081633
"LR" 0.8909 0.0559 0.585918367346939
"LR" 0.9133 0.0578 0.626326530612245
"LR" 0.9396 0.0572 0.666734693877551
"LR" 0.9569 0.0519 0.707142857142857
"LR" 0.9745 0.0523 0.747551020408163
"LR" 0.9894 0.0585 0.787959183673469
"LR" 0.9967 0.0539 0.828367346938776
"LR" 0.9999 0.0572 0.868775510204082
"LR" 1 0.0583 0.909183673469388
"LR" 1 0.0571 0.949591836734694
"LR" 1 0.0519 0.99
